distance_km,best_shift_pixels,maximum_correlation
2.360000000000000000e+02,3.000000000000000000e+00,9.979965275087876453e-01
2.370000000000000000e+02,3.000000000000000000e+00,9.979632170402084057e-01
2.380000000000000000e+02,3.000000000000000000e+00,9.979271100993019061e-01
2.390000000000000000e+02,3.000000000000000000e+00,9.978908460371239686e-01
2.400000000000000000e+02,3.000000000000000000e+00,9.978570455348273471e-01
2.410000000000000000e+02,3.000000000000000000e+00,9.978263998687152414e-01
2.420000000000000000e+02,3.000000000000000000e+00,9.977971267360006280e-01
2.430000000000000000e+02,3.000000000000000000e+00,9.977664472055300937e-01
2.440000000000000000e+02,3.000000000000000000e+00,9.977327567777558581e-01
2.450000000000000000e+02,3.000000000000000000e+00,9.976963256095590094e-01
2.460000000000000000e+02,3.000000000000000000e+00,9.976579044881895841e-01
2.470000000000000000e+02,4.000000000000000000e+00,9.976257951203213459e-01
2.480000000000000000e+02,4.000000000000000000e+00,9.975927512505915473e-01
2.490000000000000000e+02,4.000000000000000000e+00,9.975588598164962795e-01
2.500000000000000000e+02,4.000000000000000000e+00,9.975274523281705275e-01
